x1,x2,x3,y1,y2,y3,z1,z2,z3
NA,83,11,57,14,95,26,41,48
NA,87,55,35,37,57,58,22,98
NA,86,68,95,97,43,47,98,61
NA,63,43,76,75,81,79,70,35
NA,53,60,78,71,67,27,58,62
89,NA,40,37,20,68,47,23,36
45,NA,17,76,20,60,91,81,32
83,NA,74,79,24,80,57,38,80
17,73,NA,16,45,93,17,70,17
68,53,NA,100,98,68,40,87,38
93,22,NA,21,27,28,17,60,51
14,37,92,NA,31,30,75,35,25
18,96,73,NA,50,98,90,63,34
58,76,69,NA,63,76,47,21,48
94,84,92,65,NA,92,61,85,48
93,83,85,72,NA,89,65,20,68
47,18,92,71,85,NA,17,29,18
73,65,31,70,90,NA,41,86,13
97,38,52,22,91,97,NA,25,25
43,42,63,39,87,36,72,NA,17
